Date,Company,Stock_Price,Volume,Volatility,Dividend_Yield,PE_Ratio,Market_Cap,Revenue,Net_Income
2010-01-16,Apple Inc.,169.65,81234,0.85,1.5,25.4,987654321,1000000000,750000000
2013-03-11,Microsoft Corporation,472.90,98765,1.21,1.8,28.9,876543210,950000000,820000000
2015-04-25,Amazon.com Inc.,180.44,65432,1.03,0.9,75.6,765432109,1200000000,900000000
2015-11-29,Alphabet Inc.,194.24,74563,0.92,0.7,30.8,654321098,850000000,650000000
2015-10-19,Facebook Inc.,359.49,87541,1.55,0.5,32.1,543210987,1100000000,820000000
2014-06-16,Tesla Inc.,267.20,91234,1.76,0.2,N/A,432109876,750000000,600000000
2018-03-19,NVIDIA Corporation,186.47,76543,0.98,0.4,36.8,321098765,980000000,780000000
2010-06-12,Netflix Inc.,179.22,84521,1.33,0.6,45.2,210987654,850000000,700000000
2016-09-19,PayPal Holdings Inc.,462.29,98765,1.67,0.8,33.7,109876543,920000000,780000000
2013-06-09,Intel Corporation,256.18,70123,1.29,1.3,26.5,987654321,1100000000,850000000
2010-03-02,The Coca-Cola Company,368.75,86543,1.12,2.0,24.3,876543210,990000000,820000000
2010-11-16,Pfizer Inc.,477.67,93456,1.81,2.1,31.6,765432109,1050000000,800000000
2015-12-26,Johnson & Johnson,367.11,81234,1.43,2.2,29.8,654321098,1150000000,890000000
2012-12-05,Visa Inc.,441.35,65432,1.67,0.8,38.2,543210987,960000000,730000000
2010-12-06,McDonald's Corporation,291.62,74563,1.22,2.4,30.5,432109876,920000000,710000000
2018-01-09,JPMorgan Chase & Co.,143.89,87541,1.45,2.5,15.9,321098765,1050000000,800000000
2012-08-19,Mastercard Incorporated,479.95,91234,1.78,0.9,39.8,210987654,940000000,750000000
2014-01-21,Walt Disney Company,443.28,76543,0.95,1.0,23.6,109876543,990000000,820000000
2017-07-29,Berkshire Hathaway Inc.,382.38,84521,1.63,0.5,N/A,987654321,1250000000,1000000000
2016-07-24,Johnson & Johnson,133.10,98765,1.28,2.2,29.8,876543210,1120000000,870000000
2018-02-05,Walmart Inc.,363.73,70123,1.19,1.9,27.5,765432109,970000000,800000000
2018-06-15,Exxon Mobil Corporation,255.70,86543,1.35,4.1,18.3,654321098,1100000000,820000000
2013-11-22,AT&T Inc.,345.86,93456,1.42,4.6,15.2,543210987,1080000000,780000000
2013-10-29,Verizon Communications Inc.,346.92,81234,1.07,4.4,16.9,432109876,1020000000,790000000
2018-01-03,Caterpillar Inc.,150.03,74563,0.96,3.2,19.8,321098765,950000000,720000000
2010-03-17,Nike Inc.,388.27,87541,1.77,0.9,28.3,210987654,960000000,800000000
2010-07-20,Procter & Gamble Company,166.20,91234,1.13,2.3,23.1,109876543,990000000,830000000
2016-08-11,Oracle Corporation,201.99,76543,1.68,1.2,18.6,987654321,1050000000,780000000
2016-10-18,UnitedHealth Group Incorporated,418.62,84521,1.24,1.8,26.5,876543210,1120000000,900000000
2016-02-15,The Goldman Sachs Group Inc.,320.11,98765,1.51,1.6,12.9,765432109,1040000000,770000000
2016-06-26,The Home Depot Inc.,183.90,70123,1.36,2.4,22.7,654321098,980000000,820000000
